727;2018-05-10
752;2018-05-09
753;2018-05-08
754;2018-05-07
792;2018-05-06
816;2018-05-05
786;2018-05-04
780;2018-05-03
687;2018-05-02
674;2018-05-01
670;2018-04-30
689;2018-04-29
684;2018-04-28
647;2018-04-27
663;2018-04-26
615;2018-04-25
708;2018-04-24
643;2018-04-23
622;2018-04-22
605;2018-04-21
616;2018-04-20
568;2018-04-19
525;2018-04-18
503;2018-04-17
511;2018-04-16
532;2018-04-15
501;2018-04-14
493;2018-04-13
493;2018-04-12
431;2018-04-11
414;2018-04-10
399;2018-04-09
401;2018-04-08
385;2018-04-07
370;2018-04-06
383;2018-04-05
381;2018-04-04
417;2018-04-03
386;2018-04-02
380;2018-04-01
396;2018-03-31
395;2018-03-30
386;2018-03-29
446;2018-03-28
450;2018-03-27
490;2018-03-26
524;2018-03-25
526;2018-03-24
540;2018-03-23
540;2018-03-22
562;2018-03-21
557;2018-03-20
557;2018-03-19
539;2018-03-18
553;2018-03-17
602;2018-03-16
611;2018-03-15
614;2018-03-14
691;2018-03-13
700;2018-03-12
723;2018-03-11
687;2018-03-10
729;2018-03-09
705;2018-03-08
753;2018-03-07
817;2018-03-06
854;2018-03-05
867;2018-03-04
857;2018-03-03
857;2018-03-02
872;2018-03-01
855;2018-02-28
878;2018-02-27
869;2018-02-26
845;2018-02-25
841;2018-02-24
864;2018-02-23
813;2018-02-22
850;2018-02-21
895;2018-02-20
944;2018-02-19
924;2018-02-18
974;2018-02-17
944;2018-02-16
937;2018-02-15
924;2018-02-14
845;2018-02-13
869;2018-02-12
815;2018-02-11
860;2018-02-10
884;2018-02-09
818;2018-02-08
757;2018-02-07
793;2018-02-06
698;2018-02-05
835;2018-02-04
964;2018-02-03
916;2018-02-02
1037;2018-02-01
1118;2018-01-31
1071;2018-01-30
1182;2018-01-29
1246;2018-01-28
1107;2018-01-27
1055;2018-01-26
1056;2018-01-25
1059;2018-01-24
986;2018-01-23
1003;2018-01-22
1050;2018-01-21
1155;2018-01-20
1039;2018-01-19
1036;2018-01-18
1014;2018-01-17
1054;2018-01-16
1292;2018-01-15
1367;2018-01-14
1396;2018-01-13
1273;2018-01-12
1155;2018-01-11
1256;2018-01-10
1300;2018-01-09
1149;2018-01-08
1153;2018-01-07
1042;2018-01-06
998;2018-01-05
981;2018-01-04
963;2018-01-03
884;2018-01-02
773;2018-01-01
757;2017-12-31
717;2017-12-30
754;2017-12-29
737;2017-12-28
763;2017-12-27
774;2017-12-26
766;2017-12-25
694;2017-12-24
719;2017-12-23
675;2017-12-22
821;2017-12-21
819;2017-12-20
827;2017-12-19
795;2017-12-18
720;2017-12-17
696;2017-12-16
684;2017-12-15
696;2017-12-14
703;2017-12-13
651;2017-12-12
515;2017-12-11
442;2017-12-10
474;2017-12-09
456;2017-12-08
434;2017-12-07
429;2017-12-06
463;2017-12-05
470;2017-12-04
466;2017-12-03
463;2017-12-02
467;2017-12-01
447;2017-11-30
428;2017-11-29
473;2017-11-28
480;2017-11-27
471;2017-11-26
466;2017-11-25
475;2017-11-24
410;2017-11-23
381;2017-11-22
360;2017-11-21
367;2017-11-20
354;2017-11-19
348;2017-11-18
332;2017-11-17
331;2017-11-16
333;2017-11-15
338;2017-11-14
317;2017-11-13
308;2017-11-12
315;2017-11-11
299;2017-11-10
321;2017-11-09
309;2017-11-08
295;2017-11-07
299;2017-11-06
296;2017-11-05
300;2017-11-04
306;2017-11-03
287;2017-11-02
292;2017-11-01
306;2017-10-31
308;2017-10-30
305;2017-10-29
296;2017-10-28
297;2017-10-27
297;2017-10-26
298;2017-10-25
298;2017-10-24
287;2017-10-23
295;2017-10-22
300;2017-10-21
304;2017-10-20
308;2017-10-19
314;2017-10-18
317;2017-10-17
333;2017-10-16
337;2017-10-15
340;2017-10-14
339;2017-10-13
304;2017-10-12
303;2017-10-11
300;2017-10-10
297;2017-10-09
309;2017-10-08
311;2017-10-07
309;2017-10-06
296;2017-10-05
293;2017-10-04
292;2017-10-03
297;2017-10-02
302;2017-10-01
301;2017-09-30
291;2017-09-29
299;2017-09-28
306;2017-09-27
287;2017-09-26
292;2017-09-25
282;2017-09-24
286;2017-09-23
264;2017-09-22
259;2017-09-21
284;2017-09-20
283;2017-09-19
294;2017-09-18
252;2017-09-17
247;2017-09-16
250;2017-09-15
214;2017-09-14
277;2017-09-13
291;2017-09-12
295;2017-09-11
289;2017-09-10
294;2017-09-09
297;2017-09-08
329;2017-09-07
334;2017-09-06
313;2017-09-05
295;2017-09-04
347;2017-09-03
349;2017-09-02
388;2017-09-01
383;2017-08-31
378;2017-08-30
371;2017-08-29
348;2017-08-28
348;2017-08-27
334;2017-08-26
332;2017-08-25
326;2017-08-24
318;2017-08-23
315;2017-08-22
322;2017-08-21
301;2017-08-20
297;2017-08-19
296;2017-08-18
301;2017-08-17
302;2017-08-16
290;2017-08-15
300;2017-08-14
298;2017-08-13
311;2017-08-12
309;2017-08-11
296;2017-08-10
296;2017-08-09
297;2017-08-08
269;2017-08-07
262;2017-08-06
257;2017-08-05
223;2017-08-04
225;2017-08-03
220;2017-08-02
227;2017-08-01
204;2017-07-31
198;2017-07-30
206;2017-07-29
193;2017-07-28
204;2017-07-27
204;2017-07-26
207;2017-07-25
225;2017-07-24
226;2017-07-23
229;2017-07-22
218;2017-07-21
