1;9044;10/05/2018;
1;9325;09/05/2018;
1;9235;08/05/2018;
1;9373;07/05/2018;
1;9655;06/05/2018;
1;9858;05/05/2018;
1;9701;04/05/2018;
1;9744;03/05/2018;
1;9236;02/05/2018;
1;9119;01/05/2018;
1;9241;30/04/2018;
1;9419;29/04/2018;
1;9348;28/04/2018;
1;8987;27/04/2018;
1;9282;26/04/2018;
1;8846;25/04/2018;
1;9698;24/04/2018;
1;8931;23/04/2018;
1;8802;22/04/2018;
1;8896;21/04/2018;
1;8846;20/04/2018;
1;8294;19/04/2018;
1;8163;18/04/2018;
1;7902;17/04/2018;
1;8059;16/04/2018;
1;8329;15/04/2018;
1;7986;14/04/2018;
1;7896;13/04/2018;
1;7889;12/04/2018;
1;6968;11/04/2018;
1;6835;10/04/2018;
1;6771;09/04/2018;
1;7024;08/04/2018;
1;6911;07/04/2018;
1;6636;06/04/2018;
1;6811;05/04/2018;
1;6854;04/04/2018;
1;7456;03/04/2018;
1;7084;02/04/2018;
1;6844;01/04/2018;
1;6974;31/03/2018;
1;6891;30/03/2018;
1;7166;29/03/2018;
1;7954;28/03/2018;
1;7833;27/03/2018;
1;8209;26/03/2018;
1;8496;25/03/2018;
1;8668;24/03/2018;
1;8880;23/03/2018;
1;8728;22/03/2018;
1;8929;21/03/2018;
1;8913;20/03/2018;
1;8631;19/03/2018;
1;8224;18/03/2018;
1;7917;17/03/2018;
1;8338;16/03/2018;
1;8301;15/03/2018;
1;8270;14/03/2018;
1;9195;13/03/2018;
1;9205;12/03/2018;
1;9579;11/03/2018;
1;8866;10/03/2018;
1;9338;09/03/2018;
1;9395;08/03/2018;
1;9966;07/03/2018;
1;10780;06/03/2018;
1;11573;05/03/2018;
1;11513;04/03/2018;
1;11490;03/03/2018;
1;11086;02/03/2018;
1;10951;01/03/2018;
1;10398;28/02/2018;
1;10726;27/02/2018;
1;10367;26/02/2018;
1;9665;25/02/2018;
1;9813;24/02/2018;
1;10301;23/02/2018;
1;10005;22/02/2018;
1;10690;21/02/2018;
1;11404;20/02/2018;
1;11225;19/02/2018;
1;10552;18/02/2018;
1;11113;17/02/2018;
1;10234;16/02/2018;
1;10166;15/02/2018;
1;9495;14/02/2018;
1;8598;13/02/2018;
1;8927;12/02/2018;
1;8130;11/02/2018;
1;8622;10/02/2018;
1;8737;09/02/2018;
1;8266;08/02/2018;
1;7621;07/02/2018;
1;7754;06/02/2018;
1;6955;05/02/2018;
1;8277;04/02/2018;
1;9175;03/02/2018;
1;8831;02/02/2018;
1;9171;01/02/2018;
1;10221;31/01/2018;
1;10106;30/01/2018;
1;11296;29/01/2018;
1;11786;28/01/2018;
1;11441;27/01/2018;
1;11171;26/01/2018;
1;11259;25/01/2018;
1;11359;24/01/2018;
1;10868;23/01/2018;
1;10931;22/01/2018;
1;11600;21/01/2018;
1;12899;20/01/2018;
1;11607;19/01/2018;
1;11475;18/01/2018;
1;11189;17/01/2018;
1;11491;16/01/2018;
1;13820;15/01/2018;
1;13772;14/01/2018;
1;14360;13/01/2018;
1;13981;12/01/2018;
